split,metric,iteration,mean,std
learn,MultiClass,1,1.3455614636900415,0.004403371436578348
learn,MultiClass,2,1.312147817242628,0.00881795928386122
learn,MultiClass,3,1.2832952390599712,0.010089838110391927
learn,MultiClass,4,1.257442182388183,0.012646174084319964
learn,MultiClass,5,1.2344703567541595,0.014327177112416253
learn,MultiClass,6,1.2152964771698778,0.016160037170948178
learn,MultiClass,7,1.1981518191576854,0.017675279384798022
learn,MultiClass,8,1.1824605815628941,0.018796099233136798
learn,MultiClass,9,1.1689112556013868,0.020257910929779282
learn,MultiClass,10,1.1555325663940466,0.02058306814300486
learn,MultiClass,11,1.1439024336653274,0.021198843517894632
learn,MultiClass,12,1.1322644684381244,0.020626635500306585
learn,MultiClass,13,1.1220021610751432,0.019237102204630922
learn,MultiClass,14,1.1132349202592309,0.0179847386315381
learn,MultiClass,15,1.1056791877358347,0.018482773680725106
learn,MultiClass,16,1.0974696886238895,0.017891705068528038
learn,MultiClass,17,1.0894011613234602,0.018161181734838786
learn,MultiClass,18,1.0819173792828642,0.018804410138311026
learn,MultiClass,19,1.0751751703238774,0.019135461022268534
learn,MultiClass,20,1.0689629752497034,0.019321508016432558
learn,MultiClass,21,1.0628296452417065,0.020273399093042613
learn,MultiClass,22,1.056766107298411,0.02118624688504442
learn,MultiClass,23,1.0514459240423708,0.021407475634116043
learn,MultiClass,24,1.0468856737965169,0.02247362279507698
learn,MultiClass,25,1.041736944502286,0.02191130103326158
learn,MultiClass,26,1.0370976116174964,0.02193019496089095
learn,MultiClass,27,1.0334348500974966,0.021909288117680094
learn,MultiClass,28,1.0292020133213304,0.021898654900641332
learn,MultiClass,29,1.0248756145114033,0.02180254719052795
learn,MultiClass,30,1.0205296655166174,0.02232509822087038
learn,MultiClass,31,1.0169578841554383,0.022199508502038858
learn,MultiClass,32,1.013495179490987,0.02095208010766827
learn,MultiClass,33,1.0094047159765582,0.02136042848824732
learn,MultiClass,34,1.0055084461848787,0.020909296923091795
learn,MultiClass,35,1.0010537291298829,0.020292312245631796
learn,MultiClass,36,0.9972726957505775,0.02052487567643534
learn,MultiClass,37,0.9935029416329679,0.019621809540766384
learn,MultiClass,38,0.9902001813850334,0.02022670475009031
learn,MultiClass,39,0.9864029245012331,0.02045686281145919
learn,MultiClass,40,0.9834946369480146,0.020848729480885148
learn,MultiClass,41,0.9806846002874202,0.021012543316946842
