accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,fold
0.66553480475382,0.373122636973324,0.6819232317716099,0.3951374139185034,0.4770441177394937,1
0.6573275862068966,0.37767728516696986,0.6525760297715965,0.47954530450413746,0.4511581871401962,2
0.7178082191780822,0.4498768566961219,0.7482353118973943,0.42496278862427467,0.5812954656592277,3
0.7098930481283422,0.45105943253533615,0.7003787460418799,0.5016429394064301,0.49100633280900796,4
0.7198335644937587,0.4123554873139532,0.7178639910461695,0.4416517809158703,0.4240030742204655,5
0.6910994764397905,0.37128868435576257,0.6574437829561942,0.39788090404758525,0.37013382928560046,6
0.5551181102362205,0.3047977788420711,0.565070922201897,0.4095127227585691,0.3632484922808684,7
0.6465863453815262,0.37500111323624635,0.6222156253264765,0.3885962318480014,0.40786645845327607,8
0.5332464146023468,0.28544821238326457,0.519237019459969,0.2966460342613893,0.2991133144979299,9
0.6645512239347234,0.4409158176755631,0.6743616172859792,0.4579568579568579,0.4489255891280425,10
