trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
12,0.314696403995107,0.004208565095521132,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
14,0.3139539694473659,0.01503023428132871,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
18,0.31293771669849835,0.011166690158054455,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
13,0.3057560811814775,0.01832198759042765,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
11,0.30535493890738197,0.026176355422906826,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.303110849600278,0.025636443260270154,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
7,0.3022198557867605,0.02285353148148066,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
4,0.30125690871587846,0.03453188010966583,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
3,0.2993941855321507,0.019390669513010144,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
8,0.29808343258415193,0.025364545487175084,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.29409414497361624,0.007597286138140078,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
6,0.2912975922581962,0.020052976200387533,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
5,0.29085161291833983,0.03847587073919263,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
15,0.2906640996862434,0.008005864485072364,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
10,0.28847095406888396,0.01681255008036233,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
2,0.2844242997496829,0.03474407483436344,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
9,0.2814392506858039,0.023794525117696846,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
1,0.28142629673411235,0.047535608517612404,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.2813051502068694,0.04774418304664239,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
17,0.2651107390840462,0.06950003074134065,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
