fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,6362,19244,2086,0.62354605469978,0.4448151585881352,0.6618266572731131,0.4167758717261962,0.5607959652881566,0.6140939597315436,0.36786911147573476,0.6347574528988945,0.3671523994633379,0.38162006732642384,0.6140939597315436,0.36786911147573476,0.6347574528988945,0.3671523994633379,0.38162006732642384
2,6013,17660,2435,0.47580242807250955,0.37508385822254264,0.5317117748634219,0.38700661903999206,0.5568633765415001,0.6353182751540041,0.33119758028638024,0.668525330114573,0.33752535040682763,0.35141423907250025,0.6353182751540041,0.33119758028638024,0.668525330114573,0.33752535040682763,0.35141423907250025
3,6573,19916,1875,0.6048988285410011,0.4520581438671052,0.6520116593186923,0.43236605351511204,0.6066507974223042,0.6032,0.3953440565616816,0.6215761849430893,0.3828046494480989,0.4271532998793437,0.6032,0.3953440565616816,0.6215761849430893,0.3828046494480989,0.4271532998793437
4,6396,19224,2052,0.6153846153846154,0.4592292002285836,0.6509317089649643,0.427301268999574,0.5913170546220566,0.5604288499025342,0.3257903203492597,0.5981865306278253,0.33368001295636623,0.34058651606396717,0.5604288499025342,0.3257903203492597,0.5981865306278253,0.33368001295636623,0.34058651606396717
