fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,6407,18928,2041,0.5336350866240049,0.39561949508544125,0.5802772514137035,0.38533831548027575,0.5232673738701723,0.5600195982361588,0.3682942066478696,0.5873979464442279,0.35337678259733785,0.42618603603083577,0.5600195982361588,0.3682942066478696,0.5873979464442279,0.35337678259733785,0.42618603603083577
2,6160,17612,2288,0.5503246753246753,0.3909070685236673,0.5933294576783018,0.3820452297335746,0.4997747625946821,0.479458041958042,0.2810065829003972,0.5496078821118275,0.2971666089427527,0.3657258107615563,0.479458041958042,0.2810065829003972,0.5496078821118275,0.2971666089427527,0.3657258107615563
3,6362,18864,2086,0.5416535680603584,0.3678921652011141,0.5925801248370468,0.36668862128222723,0.4679307093440123,0.5162991371045063,0.3445033955102092,0.5561404400236436,0.3431683996917589,0.3856206636907732,0.5162991371045063,0.3445033955102092,0.5561404400236436,0.3431683996917589,0.3856206636907732
4,6415,18888,2033,0.5289166017147311,0.39543405942466936,0.5762162103081666,0.3839548037741669,0.5342395243161093,0.5725528775209051,0.36505516653984343,0.6058295787239371,0.3548846201183268,0.40627937696521765,0.5725528775209051,0.36505516653984343,0.6058295787239371,0.3548846201183268,0.40627937696521765
