fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,6407,18928,2041,0.6787888247229593,0.5664679930514375,0.7190115543650852,0.5480646905682403,0.6933802313426214,0.6717295443410093,0.36982727942671756,0.6472844404709729,0.4251884600307813,0.35551529916558766,0.6717295443410093,0.36982727942671756,0.6472844404709729,0.4251884600307813,0.35551529916558766
2,6160,17612,2288,0.737012987012987,0.6440585896344048,0.7597732105202886,0.6201064683730599,0.7054545750555724,0.5922202797202797,0.31165475110947183,0.6228730680489147,0.30703795438615566,0.35535446218988676,0.5922202797202797,0.31165475110947183,0.6228730680489147,0.30703795438615566,0.35535446218988676
3,6362,18864,2086,0.639107198994027,0.5010076236886283,0.6788544597555913,0.4792257395018824,0.6250607146023379,0.6049856184084372,0.49222588872242423,0.654447785500552,0.5190512764647732,0.5347572277760015,0.6049856184084372,0.49222588872242423,0.654447785500552,0.5190512764647732,0.5347572277760015
4,6415,18888,2033,0.5753702260327358,0.4508252522316477,0.6315835821830235,0.504676222271051,0.6027668199820182,0.7338908017707821,0.4687836818756771,0.7348941898278119,0.5776094975121416,0.44972486952575447,0.7338908017707821,0.4687836818756771,0.7348941898278119,0.5776094975121416,0.44972486952575447
