accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,fold
0.3614649681528662,0.293456003826418,0.3454024874191999,0.35524311106715967,0.44605157323505273,1
0.3617021276595745,0.312318396185555,0.39585041978036617,0.3417730588666669,0.41129384835646154,2
0.36689254598257504,0.3236029272498182,0.35917776657739836,0.3644834489687989,0.40149918471746204,3
0.41284403669724773,0.312973425529381,0.42969959530728785,0.3130399073768398,0.3658041739765804,4
