trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
3,0.3518833790192214,0.015614201840346764,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.349118715013609,0.014213477110844048,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
13,0.3479817370768149,0.006638977399064658,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
15,0.3476022885361821,0.00970174400880014,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
4,0.3475007973077127,0.01298398228651804,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
14,0.3474885453060998,0.009646987471710724,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
12,0.34703293979706085,0.011698867503355175,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
8,0.3469439395535501,0.011287822910522834,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
2,0.3468449772861415,0.008786693376534845,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
18,0.34675064681873186,0.013932150327562816,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
17,0.34562848834252347,0.011176117221360807,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
7,0.3435995805918362,0.009242598853026477,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
9,0.34341014700961575,0.009075085569276789,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
1,0.3431959510470307,0.008219328490039972,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.342773886988342,0.014855048788970536,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
5,0.34156071548461336,0.011431603453299806,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.34086297868989834,0.011512776214798095,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
11,0.34011343364073005,0.013311791101266457,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
6,0.33713839872263485,0.011800283203154068,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.3367936557096606,0.013906865439974391,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
