trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
1,0.35132826061952727,0.020345075107327415,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.3462414965145494,0.019707586107948677,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
13,0.3460976972358467,0.02410801964245382,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
12,0.3455778931757405,0.022550162427097953,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.34540491156880093,0.02235305346554875,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
4,0.34537607173874707,0.01915417411633019,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
7,0.34501869141288477,0.021918593721430374,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
5,0.34426526291361925,0.022959362590837112,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
18,0.3437394321758953,0.01949541996248519,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
8,0.3435823583878067,0.020211423133158185,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
17,0.34269641881546886,0.016248427846357938,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
9,0.3416621255145176,0.017399475293751798,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
11,0.34160903994078584,0.018261708383041336,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
14,0.34086214155749467,0.010827769317991565,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
10,0.3404765051174963,0.021169775706130878,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
20,0.33979881019715363,0.017826174037489095,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
6,0.3383684553108802,0.02190874711633861,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
3,0.337952502349843,0.03286172827698222,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
2,0.3367214131403824,0.017757284809141627,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
15,0.3274304704893777,0.009943304893441529,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
