split,metric,iteration,mean,std
learn,MultiClass,1,1.3257715661535883,0.002608057770159447
learn,MultiClass,2,1.2766705885893088,0.00650015811894845
learn,MultiClass,3,1.233480311666105,0.009727797732327206
learn,MultiClass,4,1.192071376346964,0.007919929069101142
learn,MultiClass,5,1.159747366577254,0.011319976628951307
learn,MultiClass,6,1.129581306894439,0.007650286733017651
learn,MultiClass,7,1.1017652223031602,0.006508384683890655
learn,MultiClass,8,1.0749110297311864,0.00979097414148702
learn,MultiClass,9,1.0520761054499752,0.011616907970494868
learn,MultiClass,10,1.0300415641210487,0.01178994905428779
learn,MultiClass,11,1.0118573577867176,0.011789219580312134
learn,MultiClass,12,0.9952279313082742,0.012850596781689736
learn,MultiClass,13,0.9805366522995125,0.01387150186936501
learn,MultiClass,14,0.9677871632236835,0.013259381686855242
learn,MultiClass,15,0.9556992277007877,0.01203784211410696
learn,MultiClass,16,0.9437674353569321,0.012688906331481235
learn,MultiClass,17,0.9333050783130988,0.012852557239505003
learn,MultiClass,18,0.9235217008028097,0.013484282140792345
learn,MultiClass,19,0.9129090586743175,0.012775971764403682
learn,MultiClass,20,0.9053928232931368,0.013282717898830962
learn,MultiClass,21,0.8954812471080625,0.013949435739635868
learn,MultiClass,22,0.8880345775321533,0.013696423494338828
learn,MultiClass,23,0.8805038243089127,0.013025638568077475
learn,MultiClass,24,0.873707581828658,0.01305843495591485
learn,MultiClass,25,0.86644852187951,0.013148154674909391
learn,MultiClass,26,0.8600377339647546,0.01305200408266727
learn,MultiClass,27,0.8539555854760698,0.011419921817302095
learn,MultiClass,28,0.8475739814116655,0.01119764694518198
learn,MultiClass,29,0.840617419559698,0.011264396326528153
learn,MultiClass,30,0.8353470191928903,0.010505388734649106
learn,MultiClass,31,0.830078925724932,0.01074814470834855
learn,MultiClass,32,0.8247051851069093,0.010636927437312893
learn,MultiClass,33,0.8189911570021758,0.010250491373498002
learn,MultiClass,34,0.8136456281203177,0.012104100224944021
learn,MultiClass,35,0.809175569022195,0.011213612419415072
learn,MultiClass,36,0.8048892956224044,0.011296344611025896
learn,MultiClass,37,0.8005527458005317,0.011269540322601497
learn,MultiClass,38,0.7959320337990445,0.009475897410974234
learn,MultiClass,39,0.7911030657783508,0.010140841146180557
learn,MultiClass,40,0.7871524189844991,0.010236873000408191
learn,MultiClass,41,0.7836574092181281,0.009833784519808913
learn,MultiClass,42,0.7787713127856994,0.010141732250133588
learn,MultiClass,43,0.7752841119543232,0.00959576765934965
learn,MultiClass,44,0.7706780398242934,0.01038699606141835
learn,MultiClass,45,0.7675440250133475,0.009635771768244903
learn,MultiClass,46,0.763832868235399,0.009085330816216156
learn,MultiClass,47,0.7606228880444075,0.010520099665511318
learn,MultiClass,48,0.7570097447944492,0.010532943078072773
learn,MultiClass,49,0.7536794278068712,0.009749889105357828
learn,MultiClass,50,0.7503507085802138,0.010860019464933111
learn,MultiClass,51,0.7468353114667311,0.010194661476968764
learn,MultiClass,52,0.7438980972690743,0.010870994195620983
learn,MultiClass,53,0.740632582413542,0.011013751188525473
learn,MultiClass,54,0.7368238608684307,0.011891759768220713
learn,MultiClass,55,0.7323049640762043,0.01315733967100687
learn,MultiClass,56,0.7297413802377631,0.013213918565465098
learn,MultiClass,57,0.7260438860234274,0.015135085348102928
learn,MultiClass,58,0.7235100685488725,0.015559096782495806
learn,MultiClass,59,0.7200894437314501,0.014420663854911272
learn,MultiClass,60,0.7163670914771553,0.014499187943979443
learn,MultiClass,61,0.7136586038373073,0.014530444275810968
learn,MultiClass,62,0.7113506485683062,0.014190903437541475
learn,MultiClass,63,0.7083863303538719,0.01443329144040426
learn,MultiClass,64,0.706072820856129,0.014850882912482273
learn,MultiClass,65,0.7044374213599492,0.015604488752638455
learn,MultiClass,66,0.7014543323128227,0.015404263979402965
learn,MultiClass,67,0.6981942863774652,0.016224096036263753
learn,MultiClass,68,0.6957091277527941,0.015862480725283182
learn,MultiClass,69,0.6933074164282717,0.01567680965288305
learn,MultiClass,70,0.6902799783666796,0.01665590242200121
learn,MultiClass,71,0.6884972359382285,0.01765288261115337
learn,MultiClass,72,0.6862203454815359,0.01766645719211832
learn,MultiClass,73,0.6837675213725046,0.018224443306828465
learn,MultiClass,74,0.682021112699264,0.018041626768490374
learn,MultiClass,75,0.6796410232153858,0.018350956855812384
learn,MultiClass,76,0.6766191111576428,0.01821920582014875
learn,MultiClass,77,0.6745200712788456,0.017581439858580728
learn,MultiClass,78,0.6716075146550282,0.017570459432326123
learn,MultiClass,79,0.6694116032097542,0.01731985315878731
learn,MultiClass,80,0.6674051103214289,0.01674501931062476
