accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,fold
0.5984719864176571,0.36966934078451286,0.6396841891420132,0.3533757154704519,0.4839193242653516,1
0.6066810344827587,0.35715016739882,0.6163506476936782,0.35403853677621283,0.4497095358414699,2
0.536986301369863,0.37732126844379227,0.6151570606835484,0.3880888465415686,0.5637608674014739,3
0.6564171122994652,0.3418898267422016,0.6598740982264353,0.3354724821111619,0.4133948392998583,4
0.6865464632454924,0.39110470873662706,0.7016587350119707,0.3790672540356175,0.4298748353096179,5
0.6662303664921466,0.42531625746685897,0.6729825689288406,0.4223251581334288,0.4576468332300602,6
0.5013123359580053,0.3280555364954015,0.5582050413179946,0.3531165958230521,0.35891371083101836,7
0.6211512717536813,0.39467301885671385,0.623655914911521,0.3909212812271149,0.42617511424321,8
0.5332464146023468,0.28960352790619714,0.5244291414717086,0.2972298483213358,0.2903628480551558,9
0.6491387126019945,0.39711139810351415,0.6660170710377614,0.3806456384714495,0.44790610249359364,10
