fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,5612,16124,2836,0.6004989308624377,0.5116617257643656,0.6411853693789924,0.49972392620915884,0.6669819607247317,0.711212976022567,0.3918779888574119,0.6696151977413352,0.470814048376949,0.42038614713410155,0.711212976022567,0.3918779888574119,0.6696151977413352,0.470814048376949,0.42038614713410155
2,5657,16376,2791,0.5920098992398798,0.5018899875885815,0.6291738095150717,0.47993976151556805,0.6370860222846151,0.652454317448943,0.4773433821536679,0.6755328217134509,0.47588367854903457,0.5053072472514953,0.652454317448943,0.4773433821536679,0.6755328217134509,0.47588367854903457,0.5053072472514953
3,5627,16100,2821,0.7369824062555536,0.6324787245967998,0.7573175901974405,0.6060358092874539,0.6908208861636178,0.5778092874867068,0.32824259134062306,0.5914233878484668,0.32991898120136687,0.3547716927446136,0.5778092874867068,0.32824259134062306,0.5914233878484668,0.32991898120136687,0.3547716927446136
