iter	TotalF1:average=Macro	MultiClass
184	0.8650077695	0.4042141251
185	0.865009653	0.4035473572
186	0.8652836829	0.4023086083
187	0.8658033478	0.4012484812
188	0.8659635433	0.4006580823
189	0.8670472902	0.398970153
190	0.8673612009	0.3984622597
191	0.8673648246	0.397829875
192	0.8672468402	0.3972600442
193	0.8673546427	0.3967439684
194	0.8678438515	0.3951071751
195	0.8679508954	0.3944544793
196	0.868591224	0.3933489635
197	0.8685499208	0.3927415855
198	0.8687467906	0.3920525287
199	0.8689486281	0.3914837115
200	0.8689504625	0.3908198529
201	0.8691196076	0.3897128545
202	0.8692418402	0.3891265464
203	0.8695223711	0.3882202017
204	0.8701147602	0.3871934204
205	0.8705466668	0.3862997802
206	0.870548439	0.3858736932
207	0.8711912237	0.3846954321
208	0.8712309987	0.3841344956
209	0.8717905978	0.3835214361
210	0.8724668059	0.3828037217
211	0.8723474405	0.3818063922
212	0.8728302968	0.3809514593
213	0.8729181998	0.3803413021
214	0.8732778503	0.3797224855
215	0.8737439255	0.3785935253
216	0.8739488676	0.3776507357
217	0.8741417623	0.3771189405
218	0.8741410871	0.3763182723
219	0.8745776225	0.3757569689
220	0.874972283	0.3744012046
221	0.8752852682	0.3738282064
222	0.8754853693	0.3731589273
223	0.8758461029	0.3728131535
224	0.8760046998	0.3716000572
225	0.8764788461	0.371171571
226	0.8767158137	0.3706232478
227	0.8768379082	0.3699617539
228	0.8769973075	0.3695290972
229	0.8774398739	0.3686969389
230	0.8772760901	0.3683698735
231	0.8774275449	0.3675348708
232	0.8776986055	0.3670834984
233	0.8777448395	0.3666114702
234	0.8779801993	0.3660991799
235	0.8779404447	0.3660958669
236	0.8783082271	0.3652097291
237	0.878513599	0.3645874964
238	0.8791497142	0.3639420442
239	0.879189714	0.3639324515
240	0.8795757412	0.3631560315
241	0.8798596736	0.3626823155
242	0.8799741696	0.3622041431
243	0.880176085	0.361961389
244	0.8802168009	0.3616037935
245	0.880208612	0.3611263272
246	0.8801320645	0.3607644252
247	0.8803706963	0.3601187879
248	0.8805350009	0.3594191269
249	0.8808547848	0.3588546626
250	0.8810963861	0.3585301954
251	0.881373178	0.3578839275
252	0.8816558546	0.3576016586
253	0.8815769811	0.3573047873
254	0.8816587097	0.3559623615
255	0.882096211	0.3554869891
256	0.8825421088	0.3550561499
257	0.883012718	0.3539482244
258	0.8830479457	0.3532902761
259	0.8832480153	0.3526902524
260	0.8835379934	0.3515555127
261	0.8835402471	0.3515530123
262	0.8837378228	0.3508846504
263	0.8841749704	0.3504258985
264	0.8839693734	0.3502460883
265	0.8840895345	0.3500001868
266	0.8844071	0.3494222989
267	0.8842538953	0.3490460312
268	0.8842538953	0.3490415656
269	0.8842538953	0.3490393404
270	0.8842538953	0.3490316225
271	0.8842538953	0.349014805
272	0.8844542857	0.3487378803
273	0.8851697355	0.3483873536
274	0.8852919135	0.3469306777
275	0.8853315958	0.3469272104
276	0.8853710259	0.3465523529
277	0.8856109155	0.3462694774
278	0.885690361	0.3460615332
279	0.885809209	0.3456513335
280	0.885809209	0.3456493083
281	0.8858489174	0.3450166077
282	0.8854534093	0.3443607781
283	0.8854534093	0.3443551805
284	0.8859308502	0.3438888484
285	0.8858851612	0.3435806844
286	0.8858851612	0.3435782013
287	0.8858488477	0.3431212488
288	0.8858488477	0.343119164
289	0.8859276788	0.3429968543
290	0.8860075837	0.3427795624
291	0.8862078624	0.3417519251
292	0.8865255073	0.3413459998
293	0.8865585939	0.3410319464
294	0.8864736115	0.3407798071
295	0.8869233379	0.3402983942
296	0.8869233379	0.3402927115
297	0.886801649	0.3400632472
298	0.8867613672	0.3399964854
299	0.887080419	0.3398086601
300	0.8870765351	0.3395795728
301	0.8870765351	0.3395701042
302	0.8873556392	0.3392675258
303	0.8873503445	0.3389799857
304	0.8875859472	0.3385488643
305	0.887625812	0.3385253775
306	0.8875861158	0.3385228385
307	0.8875861158	0.3385210926
308	0.887426886	0.3379438882
309	0.8873879167	0.3379401165
310	0.8875116251	0.3377215014
311	0.8879836571	0.337084431
312	0.8881023946	0.3369817731
313	0.8881445265	0.3361206457
314	0.8883100211	0.33527301
315	0.8885869086	0.3352069272
316	0.8888670283	0.3347472449
317	0.8892645113	0.334018356
318	0.8891848428	0.333916021
319	0.8891449793	0.3339043352
320	0.8891004169	0.3333011995
321	0.8891004169	0.333290385
322	0.8891004009	0.3332189706
323	0.8898097442	0.3324365008
324	0.8901252495	0.3318308231
325	0.8902074664	0.331282991
326	0.8902421397	0.3306872197
327	0.8903191535	0.3303473712
328	0.8900415029	0.3301032166
329	0.8902766525	0.3298422014
330	0.8906292531	0.329472539
331	0.8911384608	0.3291843189
332	0.8909104315	0.3284077144
333	0.8913075575	0.3279456092
334	0.8913064244	0.3277241461
335	0.8913862375	0.327464375
336	0.8913869053	0.3269463902
337	0.8913869053	0.3269317428
338	0.8913869053	0.3269215086
339	0.8918612694	0.3263858638
340	0.8919027607	0.3263774141
341	0.8919814871	0.3263680426
342	0.8919019635	0.3263658741
343	0.8922205127	0.325977978
344	0.8921004991	0.3255563261
345	0.8924165549	0.3251714606
346	0.8922173562	0.3247145287
347	0.892451794	0.324273238
348	0.8924206812	0.3238949985
349	0.8924206812	0.3238892207
350	0.8923811968	0.3238861752
351	0.8924609548	0.3232900571
352	0.8924217412	0.323288305
353	0.8924217412	0.3232868533
354	0.892577729	0.3228490393
355	0.8926918432	0.3220163167
356	0.8930110492	0.3218391577
357	0.8933656496	0.3213365367
358	0.8933263389	0.3213289568
359	0.8936436259	0.3207208248
360	0.8936039023	0.3207165754
361	0.8937992951	0.3200764037
362	0.8939201299	0.3199596576
363	0.8939201299	0.3199539501
364	0.8939201299	0.3199525761
365	0.8944790796	0.3193187305
366	0.8944363758	0.3188184439
367	0.8938856993	0.318491618
368	0.8940035367	0.3184347336
369	0.8941213732	0.318407166
370	0.8940819561	0.3184021598
371	0.8940819561	0.3183996368
372	0.8942809899	0.3177582197
373	0.8944405644	0.3175824303
374	0.894716189	0.3171217094
375	0.8946358915	0.3171163621
376	0.8948726452	0.3168185366
377	0.8949956362	0.3167331498
378	0.895199033	0.3163695269
379	0.8953134322	0.3156246853
380	0.8954332983	0.315433685
381	0.8955116274	0.3154312574
382	0.8955500443	0.314915004
383	0.8955500443	0.3149124814
384	0.8953507038	0.3145068864
385	0.8953507038	0.3145054144
386	0.8952318508	0.3143864584
387	0.8952318508	0.3143849603
388	0.8951496219	0.3140775385
389	0.8953096769	0.3138521184
390	0.8953893679	0.3136630886
391	0.8952694997	0.3135482683
392	0.8953926904	0.3133474721
393	0.8954301622	0.3133448279
394	0.8955901261	0.3129913075
395	0.8953101571	0.3125620618
396	0.8953101571	0.3125609707
397	0.8953098785	0.3125118682
398	0.8955076954	0.3123405767
399	0.8959054288	0.3119296143
400	0.8960242566	0.3114503504
401	0.8958681029	0.3114444321
402	0.8958278821	0.3114350995
403	0.8957900273	0.3109804279
404	0.8958263571	0.3105793544
405	0.8958263571	0.3105778843
406	0.8958281887	0.3104405224
407	0.8958281887	0.3104397952
408	0.8961442381	0.310227941
409	0.8963820396	0.3098760108
410	0.8964972711	0.3095196805
411	0.8963424686	0.3092422967
412	0.8966944215	0.3090761727
413	0.8967327729	0.3090742498
414	0.8963782244	0.3089309021
415	0.8965769093	0.3088313117
416	0.8964974474	0.3088244787
417	0.8963787759	0.3085628041
418	0.8963805369	0.3085606196
419	0.8963386948	0.3083748365
420	0.8963386486	0.3083717219
421	0.89653713	0.3079658331
422	0.89653713	0.3079644213
423	0.896538269	0.3079519241
424	0.8965780301	0.3079518923
425	0.896653813	0.3077096488
426	0.8965349396	0.3076852918
427	0.8965349396	0.3076835605
428	0.8967719721	0.3073329018
429	0.8969701485	0.306993357
430	0.8970877971	0.3068616563
431	0.8971275552	0.3068200325
432	0.8972504298	0.3063846999
433	0.897252167	0.306114394
434	0.8973313095	0.3061113806
435	0.8976427411	0.3056156294
436	0.8976427411	0.3056141641
437	0.8976418199	0.3053144493
438	0.8977621696	0.3049806396
439	0.8977624821	0.3049743245
440	0.8977624821	0.3049731301
441	0.8977624821	0.3049716665
442	0.8979217347	0.3047645578
443	0.8980031801	0.3046339894
444	0.8979201486	0.3040816348
445	0.8980007107	0.3040746332
446	0.8980375776	0.303829127
447	0.8983191319	0.3035945535
448	0.8985180235	0.3031842982
449	0.8986741374	0.3027668019
450	0.8987132335	0.3027258979
451	0.8987129302	0.3027240298
452	0.8987129302	0.3027233622
453	0.8987147634	0.3025672892
454	0.8991824092	0.3021951489
455	0.8991880024	0.3021892355
456	0.8991880024	0.3021865585
457	0.8991880024	0.3021805123
458	0.8987520924	0.3016433107
459	0.8987520924	0.3016402305
460	0.8986720207	0.3014358657
461	0.8987117351	0.3014328368
462	0.8987110724	0.3014259284
463	0.8987507873	0.3014249135
464	0.8987507873	0.3014231573
465	0.8990278456	0.3013521985
466	0.8991067841	0.3013467777
467	0.8990282655	0.3013309301
468	0.8990674201	0.3012089535
469	0.8988677738	0.3008496415
470	0.8989471622	0.3005622565
471	0.8991037505	0.3003714357
472	0.8991437046	0.300205512
473	0.8992631983	0.3000046831
474	0.8992631983	0.3000013275
475	0.8993016706	0.2999945066
476	0.8992233361	0.2999582179
477	0.899424685	0.2996432406
478	0.8996939597	0.2994301057
479	0.8996549148	0.2994289665
480	0.8998157004	0.2991970577
481	0.8997741828	0.299190362
482	0.89997115	0.2990822787
483	0.89997115	0.2990803815
484	0.900251208	0.2987107249
485	0.900529191	0.2985311047
486	0.900529191	0.2985296157
487	0.900529191	0.2985287111
488	0.9004497978	0.2985245899
489	0.9002891384	0.2984867687
490	0.9001746818	0.2983506968
491	0.9003704202	0.2980941908
492	0.9004510234	0.2980694403
493	0.9004510234	0.2980672748
494	0.9003700318	0.2980641223
495	0.9003321942	0.2980586817
496	0.9003299619	0.2979352258
497	0.9004119334	0.2976752294
498	0.9004072589	0.2972485368
499	0.9004469447	0.2972315452
500	0.9009605288	0.2967977629
501	0.9011984658	0.2964606208
502	0.9015601808	0.2960406219
503	0.9015601808	0.2960383117
504	0.9015601808	0.2960374353
505	0.9015609891	0.296026539
506	0.9015591815	0.2960251573
507	0.9015190345	0.295472583
508	0.9019180438	0.2951616731
509	0.9019178822	0.2950775966
510	0.9019178822	0.2950767223
511	0.9018745411	0.2946911428
512	0.9018745411	0.2946897889
513	0.9020302247	0.2945116157
514	0.9020673159	0.2942848189
515	0.9020707179	0.2941213299
516	0.9020312867	0.2941181696
517	0.9020312867	0.2941158919
518	0.9020312867	0.2941134756
519	0.9019110526	0.2938926609
520	0.9019890525	0.2936689943
521	0.9020692736	0.2936112118
522	0.9021889627	0.2933052069
523	0.9021495258	0.2933021989
524	0.9022654603	0.2932731184
525	0.9022654603	0.2932722888
526	0.902149543	0.2930998667
527	0.9020309622	0.2929436036
528	0.9020309622	0.2929422904
529	0.9019963405	0.2924735835
530	0.9020357443	0.2924718034
531	0.9021961706	0.2920376911
532	0.9019943059	0.2917008434
533	0.9021919551	0.2914614142
534	0.9023079525	0.2912745931
535	0.9023079525	0.2912702742
536	0.9021959947	0.290956161
537	0.9021134652	0.2905753193
538	0.9023154321	0.2904226702
539	0.9023551904	0.2904214481
540	0.9023562727	0.2904196173
541	0.9024356516	0.2904179105
542	0.9023146429	0.2903196108
543	0.9023174463	0.2903138787
544	0.9023174463	0.2903127686
545	0.9023957546	0.290098304
546	0.9023578688	0.290091157
547	0.9025583962	0.2898681037
548	0.902831102	0.2895689182
549	0.9028707856	0.2895661889
550	0.9027516643	0.2894760437
551	0.9029479163	0.2892799994
552	0.9033041625	0.2890499844
553	0.9034261799	0.2887203611
554	0.9034666204	0.2887181637
555	0.9034666204	0.2887150087
556	0.9034726851	0.2882230711
557	0.9034326236	0.2881844104
558	0.9034723587	0.2881831252
559	0.9036676502	0.2877307519
560	0.9037069771	0.2877262235
561	0.9039060142	0.2874472985
562	0.9039443405	0.2872958231
563	0.9040204469	0.287135515
564	0.904097284	0.2868166165
565	0.9042962719	0.286514982
566	0.9042976876	0.2865035033
567	0.9042184984	0.2864521303
568	0.9042184984	0.2864513368
569	0.9042184984	0.2864486081
570	0.9042543208	0.2863483633
571	0.9042543208	0.2863372161
572	0.9043751129	0.2862931478
573	0.9044129472	0.2862562748
574	0.9044130017	0.2862539537
575	0.9045757162	0.2860939786
576	0.9045341244	0.2860928005
577	0.9045757162	0.2860893603
578	0.9045757162	0.2860866309
579	0.9044156147	0.2860615643
580	0.9044156147	0.2860596529
581	0.904531757	0.2857493247
582	0.9045719209	0.2854604805
583	0.9045719209	0.2854589119
584	0.9044524502	0.2854529772
585	0.9047295802	0.2852587824
586	0.9047661442	0.2851445845
587	0.9050052079	0.2848693209
588	0.9050838044	0.2848601472
589	0.9052005802	0.2845940481
590	0.9051184559	0.2845031714
591	0.9053294986	0.2840202215
592	0.9055646382	0.283800918
593	0.9054881177	0.2835205786
594	0.9052531374	0.283448581
595	0.905291424	0.2834316965
596	0.9053310835	0.2834260857
597	0.9053701073	0.2834226013
598	0.9056059003	0.2832875735
599	0.9056059003	0.2832859255
600	0.9056871197	0.2830149037
601	0.905648258	0.2828887905
602	0.9058069286	0.2828311992
603	0.9057665031	0.282690565
604	0.9054496358	0.2825095276
605	0.9056482071	0.2821743261
606	0.9056473672	0.2821261864
607	0.9056098991	0.281763659
608	0.9056493028	0.2817596177
609	0.9055269749	0.2817240449
610	0.9057246482	0.2813436714
611	0.9059218605	0.2811886756
612	0.9059607527	0.2809868349
613	0.9059216413	0.2809843179
614	0.9059988974	0.2807920913
615	0.9061600461	0.2806388271
616	0.9061589533	0.2805804735
617	0.9061589533	0.2805798409
618	0.9061967621	0.2803674008
619	0.9061967621	0.2803511451
620	0.906277453	0.2800763252
621	0.9062384507	0.2800565837
622	0.9062384507	0.2800552459
623	0.9062388709	0.2799229769
624	0.9063580512	0.279835902
625	0.906273099	0.2794900709
626	0.9063539254	0.2794176312
627	0.9063539254	0.2794141226
628	0.9064329877	0.2794110313
629	0.9065940496	0.2791356057
630	0.9065945899	0.2791323191
631	0.9065549295	0.2791178253
632	0.9065549295	0.2791155829
633	0.9065549295	0.2791147216
634	0.9065549295	0.2791103656
635	0.9068309013	0.2789091223
636	0.9069490702	0.2785832054
637	0.9069490702	0.2785824608
638	0.9069888381	0.2785816189
639	0.9069888381	0.2785726816
640	0.9070679968	0.2782914559
641	0.907027298	0.2782893646
642	0.9072272251	0.2781541105
643	0.9072678042	0.2781518644
644	0.9072675515	0.2781498576
645	0.9072675515	0.278148671
646	0.9073061289	0.2777837113
647	0.9071475661	0.2775457024
648	0.9071475661	0.2775409781
649	0.9071505199	0.2773462242
650	0.9069529162	0.2773253514
651	0.9069920386	0.277324027
652	0.9069533234	0.2771753618
653	0.9069533234	0.2771743726
654	0.9069533234	0.2771726882
655	0.906992702	0.2771549641
656	0.9069535791	0.2771515793
657	0.9066787406	0.2769497992
658	0.9066787406	0.2769494663
659	0.9071135547	0.2766896683
660	0.907112664	0.2765687635
661	0.9071523082	0.2765672175
662	0.9071920731	0.2765666945
663	0.9070730377	0.2765631778
664	0.9074305819	0.2762851622
665	0.9075079897	0.2760789701
666	0.9073875064	0.2760221768
667	0.90738909	0.2758933332
668	0.90738909	0.2758929619
669	0.90738909	0.2758912715
670	0.9073102933	0.2756509555
671	0.9074279256	0.2755453532
672	0.9075086568	0.2752261591
673	0.9075086568	0.2752253725
674	0.9075493635	0.2752218871
675	0.9075902005	0.2751773075
676	0.9077878459	0.2751095365
677	0.907749596	0.2748345142
678	0.907749596	0.2748329533
679	0.907866232	0.2745702595
680	0.9081814233	0.2743859733
681	0.9081014838	0.2743105195
682	0.9081017563	0.2743061073
683	0.9082191185	0.2740634891
684	0.9082583651	0.2738113721
685	0.9084178658	0.2736458611
686	0.9084556086	0.2736400872
687	0.9084984777	0.2736101163
688	0.9087780047	0.2734638601
689	0.9088176632	0.2734610584
690	0.9087782924	0.2734601062
691	0.9087407428	0.2734232364
692	0.9088205392	0.2734056733
693	0.9090582106	0.2733223757
694	0.9090183313	0.2731011666
695	0.9087804963	0.272946871
696	0.9088627146	0.2727434857
697	0.9088222097	0.272646342
698	0.9088224343	0.2726363865
699	0.9087832926	0.2726186931
