fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,5612,16696,2836,0.6368496079828938,0.4947877853086827,0.6669486419519074,0.4556213073066877,0.615908986464218,0.6308180535966149,0.3580156947220059,0.6536974045300238,0.3467349846882416,0.38521190534187716,0.6308180535966149,0.3580156947220059,0.6536974045300238,0.3467349846882416,0.38521190534187716
2,5627,16768,2821,0.6068953261062733,0.43984831389624723,0.643273124631733,0.4135090818685029,0.5601499513262287,0.5306628855015951,0.30279692138251724,0.5785685343207471,0.3050146101578377,0.33104226802383485,0.5306628855015951,0.30279692138251724,0.5785685343207471,0.3050146101578377,0.33104226802383485
3,5657,17232,2791,0.5990807848683047,0.4244600486868373,0.6425964904820067,0.4011695251009129,0.547853550250524,0.5517735578645647,0.34116721592863375,0.5856982517411147,0.3336155136263772,0.3934508276548927,0.5517735578645647,0.34116721592863375,0.5856982517411147,0.3336155136263772,0.3934508276548927
