trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
1,0.3106266961077801,0.03201722329311024,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.3106266961077801,0.03201722329311024,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
4,0.3083613396660956,0.005962180814333834,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
11,0.30277069431759895,0.0036887519211568076,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.30005579572253677,0.0014259857279561028,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
12,0.29766766274392176,0.019868247379113274,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
18,0.29758725526079766,0.0023956863735285217,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
17,0.29643869947709095,0.012110412214065391,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
2,0.2953335941245341,0.007874964763935982,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
9,0.28966570193223634,0.018183458929606322,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.28961804951675935,0.011784447373398621,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
8,0.28961804951675935,0.011784447373398621,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
7,0.2877489206291698,0.006180156863478364,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
19,0.28649949067605485,0.006630136648116597,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
5,0.2813725674399315,0.005720540845317423,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
13,0.280351057411517,0.010835083189660422,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
15,0.28020866806801015,0.022190490783751626,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
3,0.2778781466719007,0.004971126482837707,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
6,0.2775893368951957,0.0032959687015682027,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
14,0.2636526276279503,0.0056344503436917825,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
