fold,train_size_raw,train_size_fit,validation_size,train_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall
1,6362,18572,2086,0.5558000628733103,0.4138800224295764,0.6038156404424262,0.40364719817140426,0.5483062908841123,0.5412272291466922,0.3967716530538648,0.5734533611690993,0.38573253294363674,0.45382760457830296,0.5412272291466922,0.3967716530538648,0.5734533611690993,0.38573253294363674,0.45382760457830296
2,6005,16844,2443,0.4792672772689425,0.3914090315654423,0.5215611077460828,0.3957088887161344,0.5488043192354151,0.6131805157593123,0.3689503369781921,0.6514715294169008,0.3907148453553136,0.37723742197517024,0.6131805157593123,0.3689503369781921,0.6514715294169008,0.3907148453553136,0.37723742197517024
3,6415,18548,2033,0.6558067030397506,0.5188493126095005,0.6808796698007737,0.4784284055061615,0.635074979173147,0.5681259222823414,0.3951793384072249,0.5966802048795781,0.4298492821018783,0.4109289252143936,0.5681259222823414,0.3951793384072249,0.5966802048795781,0.4298492821018783,0.4109289252143936
4,6562,18936,1886,0.6434014020115818,0.5012935016206687,0.6734520029962581,0.4671145628784164,0.625983453669865,0.6113467656415694,0.3579992706802092,0.6087097875169644,0.34351610240965597,0.4160585320596947,0.6113467656415694,0.3579992706802092,0.6087097875169644,0.34351610240965597,0.4160585320596947
